,1차금속 제조업,"가스, 증기 및 공기조절 공급업",건축보수업,"공공행정, 국방 및 사회보장",광업,교육서비스업,금속가공제품 제조업,금융 및 보험업,기계 및 장비 제조업,기타 서비스업,기타 제조업 및 산업용 장비 수리업,농림어업,도소매업,"목재, 종이, 인쇄 및 복제업",부동산업,비금속광물제품 제조업,비주거용 건물 건설업,사업지원 서비스업,섬유 및 가죽제품 제조업,"수도, 하수 및 폐기물 처리, 원료 재생업",숙박 및 음식점업,"예술, 스포츠 및 여가관련 서비스업",운송장비 제조업,운수업,음식료품 제조업,"의료, 보건업 및 사회복지서비스업",전기업,전기장비 제조업,"전문, 과학 및 기술관련 서비스업",주거용 건물 건설업,"출판, 방송, 영상, 정보서비스","컴퓨터, 전자 및 광학기기 제조업",코크스 및 석유정제품 제조업,토목건설업,통신업,화학물질 및 화학제품 제조업
y.L3.비금속광물제품 제조업,0.004030381522667615,0.010451854843272643,-0.002846271519924147,-0.0017014525303738447,0.004756883332694788,-0.00017639496898546117,-0.0011646417900431612,0.00010913210553501265,0.004982873653233419,-0.003293810175078418,0.0013916987352013215,-0.00595003880307484,-0.0009602222157116579,-0.0011914398208233458,0.0006786475518751616,-0.00046315564178136875,-0.0023747148659091187,0.004419198512457525,-0.00273364681458295,0.005707836867415789,-0.00754422028750377,-0.012114125055652104,-0.01131466685806995,-0.0002428947772818886,-0.003731185720164583,0.00012865495274990866,-8.994458755689008e-05,-0.0038397351088158716,-0.0005079346464801045,0.003916023146082407,0.005199874689639018,-0.0014468302569845496,-0.0054300104043855345,-0.0031907940425677074,-0.0045003943483785894,0.0007919405971158443
y.L3.비주거용 건물 건설업,0.00019307014130492587,0.008051570346975252,-0.005407040863483937,0.0019137879471903024,-0.007585392595648596,0.00286730663194326,-0.01091131846902808,0.002063625026850567,-0.006975580576073281,0.002371516823955734,-0.011207162992741824,-0.0014173412494416148,-0.0024670862237155906,-0.0038508181433835977,-0.0025299271572490544,-0.014066908437165277,-0.013159524703548748,0.00362040881286715,0.0008415420854211105,-0.004575923727596242,-0.004894796936811819,0.006812126749108895,-0.005113444932385297,0.002472331437610939,0.0009703983791211593,-0.00045757839433840843,-0.007712154666285191,-0.01669273804840929,-0.00022157735351873136,-0.005127261863171358,-0.007539652461354776,-0.004457571803210511,-0.036617088115816696,-0.015039991502753812,-0.003699987120215147,0.010455599746046793
y.L3.사업지원 서비스업,0.00429381557638941,0.026635314543495436,-0.003319613160359924,0.0005505932699511711,-0.010929152364171869,2.3924953668978677e-05,0.002075802788569371,-0.011034959356157129,0.015749100383500858,-0.0006470855404800309,0.0068208961505237566,-0.0008949241957244614,-0.0022850050307241607,0.005743235132540334,0.002165992044802367,-0.0015008719875978932,0.015222327749736794,0.0019213235128652875,0.0006615208078953163,0.010084501272131749,-0.0005998711761213745,-0.007995466612332972,0.0044575807644424495,0.0023104243618719614,-0.00012033591251552414,0.000917800619261333,-0.0022434469055520496,-0.00813742307514003,0.0013365729402364402,0.005129596460536213,-0.0008084798628088669,-0.013185120559141944,-0.0269861369685123,0.020307126814182706,-0.01015127245162652,-0.0026471880139125117
y.L3.섬유 및 가죽제품 제조업,0.0033922527895728985,-0.014227294836322329,-0.0037169836542887296,-0.0006925502043013052,-0.0004848633558028931,0.00029244219192548003,0.0015598910349554386,-0.002266387834441692,-0.00090321404417016,0.0003567174021341887,0.0034190202888727955,-0.006520242286540899,0.0058780520050478145,0.00015627610703281068,0.000849141840122229,0.014376124766294556,0.0016816495000850085,0.000491140885748205,0.0018525279553792133,0.007080001581890108,0.0033318666158875217,-0.008212684822978877,0.002207848177651079,-0.008399583399366486,-0.005919831825439073,0.001816472460767403,-0.025104112643190468,0.007886811032999956,-0.005359203959981645,0.013851589136687794,0.004787585357552562,0.0018719480589145807,-0.08535122108848504,-0.013024525010133478,0.001338115298903859,0.0017731069561565936
"y.L3.수도, 하수 및 폐기물 처리, 원료 재생업",0.015063569490298401,-0.002045920093389126,-0.004333370188294307,-0.000280555290035147,-0.006070707873559206,-0.002088920570960811,0.021212326730473387,0.011927452817371745,0.006022449949164836,-0.0018406393621148084,0.004695110656674295,-0.002671546240563726,0.0008063625862991114,0.006543503666283711,-0.0023131481183295555,0.008587527664024243,-0.0010593466655460853,0.003635895198947109,0.0033607306398941977,-0.015231968184182026,0.003537267057324406,-0.008075987023131712,-0.002642319453827091,0.0014342861119750645,-0.0014696246145782764,-0.0011909622810196002,-0.000667365888326131,0.006833807360808318,-0.0026952684894699756,0.0072730961707495045,0.004057344489330178,-0.008162733979383531,-0.04283809477186843,-0.024913048944069063,0.005572697624102868,0.0024240237161745615
y.L3.숙박 및 음식점업,0.0029113764890315603,-0.016721249605044425,0.0006784491062965616,0.0019119555352404907,-0.007679333532135056,0.0011454907521997165,-0.004641299503685383,-0.006418359832543215,-0.0021497574218795334,0.0013658164841670543,-0.007957874505915005,-0.01142203614761062,-0.006965777855834679,-0.004070092341546435,0.0019343266114301714,0.00933248651926376,0.010230222909957051,-0.005122200841733677,-0.003677645926444307,-0.017276357962546104,-0.001113822076699376,0.006433298155422922,0.011824582055401168,-0.003412806704232992,0.004133203935536962,-0.0010411478029453075,0.016135281672722407,0.004022272434588895,0.002738535923527281,0.0027150933524027194,-0.004303472374960907,-0.00032794967369383955,0.041389688398589905,0.00149493819019906,0.006815314872269454,-0.002443056094014402
"y.L3.예술, 스포츠 및 여가관련 서비스업",0.004410077229086082,-0.009361394587529203,-0.009095161167394561,-0.0016867445564987269,-0.006737831750155408,-0.0015282344274331582,-0.00674341110757472,0.0014163633819935153,-0.000552783651410026,-8.296112642457772e-05,-0.00742574759297025,-0.011941630284381563,-0.00108934940828289,-0.00037635086774391894,0.002400069155100139,0.004365075338417668,-0.004357462815853561,0.005932009459751392,-0.000676706392916485,-0.008045198745236484,0.006979910571183823,-0.012011208307191741,0.007857346873349857,-0.0034176524140036076,0.00048655254008114594,0.0021901924475123333,0.004659792609038087,-0.0038140675624685587,-0.002392929171382379,-0.00891699656670393,-0.0017958989288129005,-0.007617961151429868,-0.13958202324404348,-0.0032657688672353266,0.004223969416976326,0.0033239675604387654
y.L3.운송장비 제조업,-0.004379182702814937,-0.011168167616101664,0.0007877972949096568,-0.0008893946117756553,-0.0013201847867150562,-0.0007208012744178102,0.004551636746984306,0.0005945731975822103,0.0011428447138871383,1.9856261422625254e-06,-0.003172729170264622,-0.0061547635248071445,-0.001383717381291485,0.0001680152239310448,-0.0005529328703445732,0.00013852594811517677,0.007996079894606694,0.003957336064408663,-0.0018738444978161077,0.00296725196798668,-0.0009994459251896296,-0.007769062091802321,-0.0016966552750752623,-0.0024983401280287546,-0.0035944439141889165,0.0010210323492558602,0.001132787537364983,-0.002401689569010511,0.0007934495534467918,-0.005065022872408963,0.003850855014362657,-0.00045916204736259555,-0.02690296362440464,0.0009860056124565543,-0.000991486261178818,-0.0023897165301037847
y.L3.운수업,-0.010656007555629989,-0.014768467506662573,-0.00390975954675096,-0.0009966487499325103,-0.036676740202076036,-0.000667202211439948,-0.0007625928196970024,0.0023581480609179057,0.008590433637006319,0.0086938427091385,-0.009252745412755163,-0.012547830321550123,0.0023233542493675853,-0.002450141280364397,-0.0017073279877437217,0.007269777065814046,0.00848047173001761,-0.00044831570410294643,0.0022582242348942513,0.007218287852273888,0.011310432045644237,-0.010661788271160752,0.017548582177741683,-0.006131832667328845,-0.009721106861691363,-0.0005742655847928639,-0.008615811194547789,-0.0006181951773602638,0.0008232248107911599,-0.01923511755288564,0.00836128308410998,-0.0027854000713718272,-0.12136424283220892,0.012227323806919155,0.00541418426495911,0.00021990943807825912
y.L3.음식료품 제조업,-0.018554884850599796,-0.00856498920224272,0.00239702789811849,-0.0018871582850472088,0.0025813528103422207,-0.003152787171490007,0.0033472317889187055,-0.019647344637950752,0.01086927794172237,0.0022136058916502315,0.0005521974590578013,0.012085696743064062,-0.003317692650104412,-0.004044567167214081,0.0017418827874577745,0.009066162311317192,0.025255243674042395,0.0006041522369152775,-0.0018779804490327116,0.005690294221661742,0.00614130777088027,-0.0032036946471443754,0.0006642659490795899,-0.0002361030276005876,0.011063790495427314,-0.003964570468332336,-0.017111660006397536,-0.01875128467719076,0.006201693321013758,0.013287664310847916,-0.0059018525129393784,-0.023894995586838413,-0.03566136972142801,-0.006818950489115692,-0.0003951208318555971,-0.00789157947893208
